195154,Power Pop
195154,Pop
195154,Rock
193688,Dance-Pop
193688,Electro-Pop
193688,Pop
1993,Rap
96442,Beef
96442,R&B
96442,Pop
95909,R&B
95909,Pop
461650,Alternative
461650,Blues
461650,Rock
2228,R&B
2228,Chicago
2228,G.O.O.D. Music
2228,Electro-Pop
2228,Pop
2228,Producer 
195149,Power Pop
195149,Alternative Rock
195149,Pop-Rock
195149,Pop
195149,Rock
109321,Pop
109321,Rap
1314,New York
1314,Compton
1314,Detroit
1314,Interscope Records
1314,Aftermath Entertainment
1314,Shady Records
1314,Posse Cut
1314,Rap
83613,Houston
83613,Folk Rock
83613,Folk
83613,R&B
83613,Pop
5266,Pop
5266,R&B
5266,Rap
495621,Ballad
495621,Pop
196522,Pop-Rock
196522,Rock
195168,Pop
195168,Rock
153998,Dance-Pop
153998,Pop
7721,R&B
7721,Rap
49192,Pop
49192,Adult Alternative
49192,Adult Contemporary
49192,Pop-Rock
49192,Chamber Music
49192,Baroque Pop
49192,British Rock
49192,Soundtrack
49192,Alternative
49192,UK
49192,Alternative Rock
49192,Rock
5528,R&B
5528,Rap
466163,R&B
466163,Pop
20067,Rap
51829,Pop
51829,R&B
54831,Republic Records
54831,Universal Republic Records
54831,Synth-Pop
54831,Electronic
54831,Memes
54831,Pop
67926,Industrial
67926,Alternative
67926,Alternative Rock
67926,Industrial Rock
67926,Electronic Rock
67926,Electronic
67926,Rock
376636,Chart History
376636,Rap
79550,Rap
52863,Dance
52863,Electro-Pop
52863,Electronic
52863,Pop
414,Crunk
414,Southern
414,Atlanta
414,East Coast
414,Baltimore
414,Epic Records
414,Electro-Pop
414,Pop
414,R&B
414,Rap
56878,R&B
56878,Pop
1646,Rap
446202,Pop
79886,Synth Rock
79886,New Wave
79886,Power Pop
79886,Electro-Pop
79886,Pop
154261,Rock
411,Producer 
411,Rap
183132,Pop
183132,Pop-Punk
183132,Pop-Rock
1947,Rap
193709,Electro-Pop
193709,Dance-Pop
193709,Pop
194308,Country
194308,Rock
98893,Big Machine Records
98893,Ballad
98893,Country
98893,Pop
110417,Def Jam Recordings
110417,Dance-Pop
110417,Electro-Pop
110417,R&B
110417,Pop
182153,Alternative Rock
182153,Rock
65311,R&B
82215,Country
82215,Rock
68973,Rap
68973,R&B
68973,Pop
2545,Pop
2545,R&B
198328,Country
946017,Pop
89663,Electronic
89663,Dance
89663,Electro-Pop
89663,Pop
214307,Producer 
214307,Young Money
214307,Toronto
214307,OVO
214307,Canada
214307,YMCMB
214307,Rap
80308,Canada
80308,Pop
196130,Country
196130,Rock
198568,Pop
198568,Pop-Rock
198568,Power Pop
3482,Pop
3482,Electronic
3482,Soul Pop
3482,Soul
3482,R&B
3482,Rap
446349,Country
446349,Rock
295998,Country
295998,Rock
63434,R&B
63434,Pop
487542,Electro-Pop
487542,Dance-Pop
487542,Pop
1249145,Dancehall
1249145,Ska Punk
1249145,Ska
1249145,Adult Alternative
1249145,Pop
1249145,Reggae
1249145,Rap
73529,Neo Soul
73529,Soul
73529,R&B
217735,Alternative Rock
217735,Rock
694560,Pop
60796,Country
105922,Folk
105922,Pop
105922,Pop-Rock
3250,Dance-Pop
3250,Funk-Pop
3250,Disco
3250,Pop
32661,R&B
32661,Pop
428,Gaming
428,Soundtrack
428,Pop
428,Rap
532,Roc Nation
532,Def Jam Recordings
532,Aftermath Entertainment
532,Interscope Records
532,Shady Records
532,Detroit
532,Ballad
532,Pop
532,Rap
1313,Electronic
1313,Synth-Pop
1313,Electro-Pop
1313,Dance-Pop
1313,Pop
5807,Electro-Pop
5807,Pop
113544,Pop
1411,Pop
1411,Rap
205697,Electro-Pop
205697,Pop
261,Posse Cut
261,West Coast
261,Canada
261,Toronto
261,OVO
261,East Coast
261,New York
261,Southern
261,New Orleans
261,Motown
261,Universal
261,YMCMB
261,Young Money
261,R&B
261,Pop
261,Rap
99032,Pop
99032,R&B
2175,R&B
2175,Pop
54504,Synth-Pop
54504,Electronic
54504,Electro-Pop
54504,Dance-Pop
54504,Pop
3645,Dance-Pop
3645,Power Pop
3645,Electro-Pop
3645,Pop
724006,Ballad
724006,Adult Contemporary
724006,Soul Pop
724006,Soul
724006,R&B
724006,Pop
91101,Electro-Pop
91101,Pop
6165,Pop
